Term
Flexion of the upper limb at the shoulder
Extension of the upper limb at the shoulder
Abduction of the upper limb at the shoulder
Adduction of the upper limb at the shoulder
Medial rotation of the upper limb at the shoulder
Lateral rotation of the upper limb at the shoulder
Circumduction of the upper limb at the shoulder
Flexion of the forearm at the elbow
Extension of the forearm at the elbow
Supination of the forearm
Pronation of the forearm
Flexion of the hand at the wrist
Extension of the hand at the wrist
Radial deviation of the hand at the wrist
Ulnar deviation of the hand at the wrist
Circumduction of the hand at the wrist
Flexion of the lower limb at the hip
Extension of the lower limb at the hip
Abduction of the lower limb at the hip
Adduction of the lower limb at the hip
Medial rotation of the lower limb at the hip
Lateral rotation of the lower limb at the hip
Circumduction of the lower limb at the hip
Flexion of the lower limb at the knee
Extension of the lower limb at the knee
Dorsiflexion of the foot at the ankle
Plantarflexion of the foot at the ankle
Inversion of the foot
Eversion of the foot
Cephalic
Caudal
Anterior
Posterior
Medial
Lateral
Proximal
Distal
Superficial
Deep
Sagittal Plane
Frontal Plane
Transverse Plane
Midsagittal Plane
Parasagittal Plane
Oblique Plane
Supine position
Prone position
Anatomical position
Recumbent position
Radial
Ulnar
Tibial
Fibular
Palmar
Plantar
Dorsal
Ventral
Ipsilateral
Contralateral
Visceral
Parietal
Peritoneal
Pleural
Pericardial
Flexion of the trunk
Extension of the trunk
Lateral flexion of the trunk
Rotation of the trunk
Depression of the mandible
Elevation of the mandible
Protraction of the mandible
Retraction of the mandible
Elevation of the scapula
Depression of the scapula
Protraction of the scapula
Retraction of the scapula
Upward rotation of the scapula
Downward rotation of the scapula
Apical
Cranial
Rostral
Opposition of the thumb
Reposition of the thumb
Eversion of the eyelid
Inversion of the eyelid
Abduction of the fingers
Adduction of the fingers
Flexion of the fingers at the PIP joint
Extension of the fingers at the PIP joint
Flexion of the fingers at the MCP joint
Extension of the fingers at the MCP joint
Flexion of the toes
Extension of the toes
Abduction of the toes
Adduction of the toes
Horizontal flexion of the upper limb at the shoulder
Horizontal extension of the upper limb at the shoulder
Ulnar flexion of the wrist
Radial flexion of the wrist
Cervical flexion
Cervical extension
Cervical lateral flexion
Cervical rotation
Thoracic flexion
Thoracic extension
Thoracic lateral flexion
Thoracic rotation
Lumbar flexion
Lumbar extension
Lumbar lateral flexion
Lumbar rotation
